2010-11-30 11:41:40|200|9.94
2010-11-30 11:51:15|100|9.92
2010-11-30 12:00:54|6000|9.94
2010-11-30 12:00:56|100|9.98
2010-11-30 13:30:59|1500|9.93
2010-11-30 13:42:24|100|9.98
2010-11-30 14:18:04|29800|9.93
2010-11-30 14:23:45|100|9.98
2010-11-30 14:24:50|100|9.93
2010-11-30 14:32:49|100|9.98
2010-11-30 15:59:29|300|9.99
2010-11-30 16:00:00|1800|9.99
2010-12-01 14:36:36|12000|9.93
2010-12-01 14:37:12|100|9.98
2010-12-01 15:04:30|500|9.93
2010-12-01 15:12:33|200|9.98
2010-12-01 16:00:00|6100|9.98
2010-12-02 15:59:29|200|9.99
2010-12-02 16:00:00|100|9.99
2010-12-02 16:00:01|100|9.99
2010-12-03 16:00:00|100|9.99
2010-12-07 15:01:10|200|9.98
2010-12-07 15:36:14|4300|9.95
2010-12-07 15:36:15|700|9.95
2010-12-07 15:47:07|100|9.99
2010-12-07 16:00:00|200|9.99
2010-12-09 12:10:37|200|9.95
2010-12-09 12:18:30|341|9.95
2010-12-09 12:18:32|200|9.98
2010-12-09 12:59:34|2000|9.9434
2010-12-09 13:03:55|900|9.98
2010-12-09 15:32:42|5800|9.98
2010-12-09 15:32:43|1100|9.98
2010-12-09 15:32:44|3100|9.98
2010-12-09 15:59:30|1900|9.98
2010-12-09 16:00:00|200|9.98
2010-12-10 10:20:23|400|9.94
2010-12-10 10:22:04|100|9.98
2010-12-10 14:16:56|5655|9.98
2010-12-10 16:00:00|5455|9.98
2010-12-15 12:48:59|30000|9.95
2010-12-15 14:22:36|5000|9.9
2010-12-15 16:00:00|5000|9.9
2010-12-16 13:10:37|5000|9.95
2010-12-16 16:00:00|2000|9.9499
2010-12-17 09:30:03|2000|9.9
2010-12-17 09:42:56|100|9.95
2010-12-17 16:00:00|100|9.95
2010-12-20 13:06:08|200|9.93
2010-12-20 13:06:10|200|9.9
2010-12-20 13:06:11|100|9.9
2010-12-20 13:06:17|300|9.9
2010-12-20 13:07:53|1500|9.9
2010-12-20 13:16:19|4000|9.9
2010-12-20 13:16:20|1000|9.9
2010-12-20 13:17:22|6000|9.9
2010-12-20 13:17:55|1445|9.9
2010-12-20 13:26:23|100|9.95
2010-12-20 15:50:28|1100|9.9001
2010-12-20 15:50:40|3055|9.9001
2010-12-20 15:50:51|4200|9.9
2010-12-20 15:50:54|100|10
2010-12-20 16:00:00|200|10
2010-12-23 15:10:22|2000|9.99
2010-12-23 16:00:00|1000|9.99
2010-12-29 10:17:57|3800|9.8
2010-12-29 10:27:08|200|9.99
2010-12-29 11:08:12|2455|9.99
2010-12-29 16:00:00|4355|9.99
2010-12-30 09:38:55|20000|9.95
2010-12-30 09:38:59|100|9.98
2010-12-30 14:12:09|2000|9.9
2010-12-30 14:14:01|100|9.98
2010-12-30 16:00:00|100|9.98
2010-12-31 15:59:30|1200|9.98
2010-12-31 16:00:00|600|9.98
2011-01-04 09:31:04|2848|9.9
2011-01-04 09:31:47|100|9.98
2011-01-04 12:20:10|65535|9.98
2011-01-04 16:00:00|65535|9.98
2011-01-05 13:54:51|100|9.9232
2011-01-05 13:54:59|200|9.98
2011-01-05 16:00:00|100|9.98
2011-01-06 10:05:36|250|9.9799
2011-01-06 12:42:37|400|9.9799
2011-01-06 12:42:50|1200|9.98
2011-01-06 16:00:00|600|9.98
2011-01-07 13:33:35|1500|9.88
2011-01-10 09:48:11|3000|9.9
2011-01-10 09:49:48|100|9.98
2011-01-10 16:00:00|100|9.98
2011-01-12 09:43:57|598|9.9
2011-01-12 09:44:04|1000|9.9
2011-01-12 09:46:23|100|9.98
2011-01-12 16:00:00|100|9.98
2011-01-13 10:32:04|8000|9.93
2011-01-13 10:33:44|200|9.98
2011-01-13 13:43:41|14500|9.98
2011-01-13 14:37:21|100|9.99
2011-01-13 16:00:00|200|9.99
2011-01-18 11:48:07|50000|9.94
2011-01-18 11:48:10|100|9.98
